English,Portuguese
Let's try something.,Vamos tentar alguma coisa!
I have to go to sleep.,Preciso ir dormir.
Today is June 18th and it is Muiriel's birthday!,"Hoje é dia 18 de junho, aniversário do Muiriel!"
Muiriel is 20 now.,Muriel completou 20 anos.
"The password is ""Muiriel"".","A senha é ""Muiriel""."
I will be back soon.,Voltarei em breve.
I'm at a loss for words.,Não tenho palavras.
This is never going to end.,Isso nunca acaba.
I just don't know what to say.,Eu simplesmente não sei o que dizer...
That was an evil bunny.,Era um coelho mau.
I was in the mountains.,Eu estava nas montanhas.
Is it a recent picture?,É uma foto recente?
I don't know if I have the time.,Não sei se tenho tempo.
Education in this world disappoints me.,A educação nesse mundo me decepciona.
You're in better shape than I am.,Você está em melhor forma do que eu.
You are in my way.,Você está no meio.
This will cost €30.,Vai custar €30.
I make €100 a day.,Eu ganho €100 por dia.
I may give up soon and just nap instead.,"Pode ser que eu desista em breve e, em vez disso, tire uma soneca."
It's because you don't want to be alone.,É porque você não quer ficar sozinho.
That won't happen.,Isso não vai acontecer.
Sometimes he can be a strange guy.,Algumas vezes ele é um cara estranho.
I'll do my best not to disturb your studying.,Farei o melhor de mim para não atrapalhar seus estudos.
I can only wonder if this is the same for everyone else.,Só me resta me perguntar se é do mesmo jeito com todo mundo.
I suppose it's different when you think about it over the long term.,Eu suponho que seja diferente quando você pensa sobre isso a longo prazo.
I miss you.,Sinto sua falta.
I'll call them tomorrow when I come back.,"Eu vou ligar para eles amanhã, quando eu voltar."
I always liked mysterious characters more.,Eu sempre gostei mais de personagens misteriosos.
You should sleep.,Você deveria ir dormir.
I'm going to go.,Eu vou.
I told them to send me another ticket.,Eu disse para eles para me enviarem outra entrada.
You're so impatient with me.,Você é tão impaciente comigo.
I can't live that kind of life.,Eu não posso viver esse tipo de vida.
I once wanted to be an astrophysicist.,Uma vez eu quis ser um astrofísico.
I never liked biology.,Eu jamais gostei de biologia.
The last person I told my idea to thought I was nuts.,A última pessoa para quem eu contei a minha ideia achou que eu estava louca.
"If the world weren't in the shape it is now, I could trust anyone.","Se o mundo não fosse como ele é hoje, eu poderia confiar em qualquer um."
It is unfortunately true.,"É verdade, infelizmente."
They are too busy fighting against each other to care for common ideals.,Eles estão muito ocupados lutando uns contra os outros para cuidar de ideais comuns.
Most people think I'm crazy.,A maioria das pessoas acham que eu sou louco.
No I'm not; you are!,"Não, eu não sou. Você que é!"
He's kicking me!,Ele está me chutando!
Are you sure?,Tem certeza?
Then there is a problem...,Então há um problema...
"Oh, there's a butterfly!","Oh, ali está uma borboleta!"
Hurry up.,Apresse-se!
It doesn't surprise me.,Não me surpreende.
For some reason I feel more alive at night.,Por alguma razão eu me sinto mais vivo à noite.
It depends on the context.,Depende do contexto.
Are you freaking kidding me?!,Você está brincando comigo?!
That's the stupidest thing I've ever said.,Essa foi a coisa mais estúpida que eu já disse.
I don't want to be lame; I want to be cool!!,"Eu não quero ser bobo, quero ser legal!!"
"When I grow up, I want to be a king.",Quando eu crescer eu quero ser rei.
"America is a lovely place to be, if you are here to earn money.","Os EUA são um bom lugar para viver, se você estiver aqui para ganhar dinheiro."
I'm so fat.,Estou tão gorda.
So what?,E daí?
I'm gonna shoot him.,Eu vou atirar nele.
I'm just saying!,Eu só estou falando.
That was probably what influenced their decision.,Isso foi provavelmente o que os influenciou na decisão deles.
I've always wondered what it'd be like to have siblings.,Eu sempre imaginei como seria ter irmãos.
This is what I would have said.,Isso é o que eu teria dito.
It would take forever for me to explain everything.,Eu levaria uma eternidade para explicar tudo.
That's because you're a girl.,É porque você é menina.
Sometimes I can't help showing emotions.,Às vezes não consigo me segurar ao mostrar minhas emoções.
It would be something I'd have to program.,Isso seria algo que eu teria que programar.
I don't intend to be selfish.,Eu não tenho a intenção de ser egoísta.
Let's consider the worst that could happen.,Vamos pensar no pior que pode acontecer.
How many close friends do you have?,Quantos amigos íntimos você tem?
"I may be antisocial, but it doesn't mean I don't talk to people.","Eu posso ser antissocial, mas não significa que eu não fale com as pessoas."
This is always the way it has been.,Sempre foi desse jeito.
I think it is best not to be impolite.,Eu acho que é melhor não ser mal educado.
One can always find time.,Sempre se pode encontrar tempo.
"I'd be unhappy, but I wouldn't kill myself.","Eu não ficaria feliz, mas eu não me mataria."
"Back in high school, I got up at 6 a.m. every morning.",No ensino médio eu acordava às 6 da manhã todo dia.
"When I woke up, I was sad.","Quando eu acordei, eu estava triste."
That is somewhat explained at the end.,Isso é mais ou menos explicado no fim.
I thought you liked to learn new things.,Eu pensei que você gostava de aprender coisas novas.
Most people write about their daily life.,A maioria das pessoas escreve sobre sua rotina diária.
"If I could send you a marshmallow, Trang, I would.","Se eu pudesse te mandar um marshmallow, Trang, eu mandaria."
"In order to do that, you have to take risks.","Para fazer isso, você tem que correr riscos."
Every person who is alone is alone because they are afraid of others.,Toda pessoa que é só é só porque ela tem medo de outras pessoas.
Why do you ask?,Por que pergunta?
I can't tell her now. It's not that simple anymore.,Eu não posso contar a ela agora. Não é mais tão simples.
"I am a flawed person, but these are flaws that can easily be fixed.","Eu sou uma pessoa que tem muitos defeitos, esses defeitos podem ser facilmente corrigidos."
"Whenever I find something I like, it's too expensive.","Sempre quando eu acho algo que me agrade, este algo é caro demais."
How long did you stay?,Quanto tempo você ficou?
Maybe it will be exactly the same for him.,Talvez seja do mesmo jeito para ele.
Innocence is a beautiful thing.,A inocência é uma coisa bela.
Humans were never meant to live forever.,Os humanos não foram feitos para viver para sempre.
"I don't want to lose my ideas, even though some of them are a bit extreme.","Eu não quero perder minhas ideias, mesmo que algumas delas sejam um pouco extremas."
I think I have a theory about that.,Eu acho que tenho uma teoria sobre isso.
That is intriguing.,Isso é intrigante.
You are saying you intentionally hide your good looks?,Você está dizendo que esconde sua beleza intencionalmente?
I do not have an account in these forums.,Eu não tenho uma conta nesses fóruns.
"If anyone was to ask what the point of the story is, I really don't know.","Se alguém perguntar qual é o sentido da história, eu realmente não sei."
I didn't know where it came from.,Eu não sabia de onde isso veio.
I think my living with you has influenced your way of living.,Eu acho que morar com você influenciou a sua forma de viver.
This is not important.,Isso não é importante.
I didn't like it.,Eu não gostei.
She's asking how that's possible.,Ela está perguntando como isso é possível.
You're just running away from life's problems.,Você está simplesmente fugindo dos problemas da vida.
"If you look at the lyrics, they don't really mean much.","Se você olhar para a letra, ela não significa muito."
There's a problem there that you don't see.,Há um problema que você não consegue ver.
You can do it.,Tu consegues fazê-lo!
My physics teacher doesn't care if I skip classes.,Meu professor de física não se importa se eu faltar às aulas.
I wish I could go to Japan.,Eu queria poder ir ao Japão.
I hate it when there are a lot of people.,Eu odeio quando tem muita gente.
I have to go to bed.,Eu preciso ir para a cama.
I won't ask you anything else today.,Eu não vou te perguntar mais nada hoje.
It may freeze next week.,Pode ser que vá gear na semana que vem.
"Even though he apologized, I'm still furious.","Embora ele tenha se desculpado, eu ainda estou furioso."
The police will get you to find the bullets.,A polícia vai fazer você encontrar as balas.
Thanks for having explained to me at last why people take me for an idiot.,Obrigado por me explicar finalmente por que as pessoas me tomam por um idiota.
That wasn't my intention.,Não era essa a minha intenção.
"Theoretically, I'm doing math.",Teoricamente eu estou cursando matemática.
It almost scared me not to see you online for a whole day.,Quase me assustou não te ver online por um dia inteiro.
I don't know what you mean.,Eu não sei o que você quis dizer.
My computer has got to be useful for something.,Meu computador tem que me ser útil para algo.
You wanted to tell me about freedom?,Você queria falar comigo sobre liberdade?
"Uh, now it's really weird...","Hmm, agora está realmente estranho..."
"If I wanted to scare you, I would tell you what I dreamt about a few weeks ago.","Se eu quisesse te assustar, eu te contaria o sonho que eu tive há algumas semanas atrás."
One can't expect everything from schools.,Ninguém pode esperar tudo das escolas.
There are many words that I don't understand.,Há muitas palavras que não entendo.
I don't like it when mathematicians who know much more than I do can't express themselves explicitly.,Eu não gosto quando matemáticos que sabem muito mais do que eu não conseguem se expressar explicitamente.
You're really not stupid.,"Realmente, você não é burro."
I need to ask you a silly question.,Eu preciso te fazer uma pergunta tola.
"I don't know how to demonstrate it, since it's too obvious!","Eu não sei como demonstrar, já que é tão óbvio!"
"I wouldn't have thought I would someday look up ""Viagra"" in Wikipedia.","Eu jamais imaginaria que algum dia buscaria por ""Viagra"" na Wikipédia."
Can it be phrased in another way?,Pode ser dito de outra maneira?
No one will know.,Ninguém saberá.
"I found a solution, but I found it so fast that it can't be the right solution.",Eu encontrei uma solução. Mas eu a encontrei tão rápido que não pode ser a solução correta.
It seems interesting to me.,Para mim parece ser interessante.
"Except that here, it's not so simple.",Exceto que aqui não é tão simples assim.
I like candlelight.,Eu gosto da luz de velas.
What did you answer?,O que você respondeu?
"No, he's not my new boyfriend.","Não, não é meu novo namorado."
It's too bad that I don't need to lose weight.,É uma pena que eu não precise perder peso.
You never have class or what?!,Você nunca tem aula ou o quê?
I will play Sudoku then instead of continuing to bother you.,Então eu vou jogar Sudoku em vez de continuar a te aborrecer.
Where is the problem?,Onde está o problema?
I can only wait.,Eu só posso esperar.
"It's not much of a surprise, is it?","Não é tão surpresa assim, não é?"
I love you.,Te amo.
I don't like you anymore.,Eu não gosto mais de você.
I am curious.,Eu estou curioso.
Congratulations!,Parabéns.
I don't want to wait that long.,Eu não quero esperar tanto.
Why don't you come visit us?,Por que você não vem nos visitar?
But the possibility seems unlikely.,Mas a possibilidade é improvável.
I shouldn't have logged off.,Eu não devia ter me deslogado.
I don't know what to do anymore.,Eu não sei mais o que fazer.
"It is inevitable that I go to France someday, I just don't know when.","É inevitável que eu vá para a França um dia, eu só não sei quando."
I hate chemistry.,Eu odeio química.
