english_text,spanish_text
go,ve
go,vete
go,vaya
go,váyase
hi,hola
run,¡corre
run,corred
who,¿quién
fire,¡fuego
fire,¡incendio
fire,¡disparad
help,¡ayuda
help,¡socorro ¡auxilio
help,¡auxilio
jump,¡salta
jump,salte
stop,¡parad
stop,¡para
stop,¡pare
wait,¡espera
wait,esperen
go on,continúa
go on,continúe
hello,hola
i ran,corrí
i ran,corría
i try,lo intento
i won,¡he ganado
oh no,¡oh no
relax,tomátelo con soda
smile,sonríe
attack,¡al ataque
attack,¡atacad
get up,levanta
go now,ve ahora mismo
got it,¡lo tengo
got it,¿lo pillas
got it,¿entendiste
he ran,él corrió
hop in,métete adentro
hug me,abrázame
i fell,me caí
i know,yo lo sé
i left,salí
i lied,mentí
i lost,perdí
i quit,dimito
i quit,renuncié
i work,estoy trabajando
im 19,tengo diecinueve
im up,estoy levantado
listen,escucha
listen,escuche
listen,escuchen
no way,¡no puede ser
no way,de ninguna manera
no way,¡de ninguna manera
no way,¡imposible
no way,¡de ningún modo
no way,¡de eso nada
no way,¡ni cagando
no way,¡mangos
no way,¡minga
no way,¡ni en pedo
really,¿en serio
really,¿la verdad
thanks,¡gracias
thanks,gracias
try it,pruébalo
we try,lo procuramos
we won,ganamos
why me,¿por qué yo
ask tom,pregúntale a tom
awesome,¡órale
be calm,mantente en calma
be cool,estate tranquilo
be fair,sé justo
be kind,sean gentiles
be nice,sé agradable
beat it,pírate
call me,llamame
call me,llamadme
call me,llámame
call us,llámanos
come in,entre
come in,pase
come in,¡entren
come on,¡órale
come on,ándale
come on,¡órale
drop it,suéltalo
get tom,agarra a tom
get out,bájate
get out,salte
get out,sal
get out,salí
get out,salid
get out,salgan
go away,¡vete de aquí
go away,¡lárgate
go away,¡salga de aquí
go away,¡largo
go away,¡vete ya
go away,¡órale
go away,¡a la calle
go away,¡vete de aquí
go away,¡lárgate
go away,¡largo
go away,¡vete ya
go away,¡órale
go away,lárguese
go away,váyase
go home,vete a casa
go slow,vaya despacio
goodbye,¡hasta luego
goodbye,hasta la vista
goodbye,¡chau
hang on,¡espera
hang on,¡espera un momento
hang on,¡un segundo
hang on,agarra fuertemente
he came,él vino
he quit,él renunció
help me,ayúdame
help me,ayúdame
help me,échame una mano
help me,ayudame
help us,ayúdanos
hit tom,golpea a tom
hold it,espera
hold on,resista
hold on,resiste
hold on,agarra fuertemente
hug tom,abraza a tom
i agree,estoy de acuerdo
i agree,de acuerdo
i bowed,me incliné
i moved,me he mudado
i moved,me mudé
i moved,me trasladé
i moved,me he trasladado
i slept,dormí
i tried,lo intenté
ill go,iré
im tom,soy tom
im fat,estoy gordo
im fat,soy gorda
im fit,estoy en forma
im hit,estoy afectado
im old,soy viejo
im shy,soy tímido
im wet,estoy mojada
its ok,está bien
its me,soy yo
its me,soy yo
join us,únete a nosotros
join us,sé parte nuestra
keep it,guárdalo
me too,yo también
open up,abre
perfect,¡perfecto
see you,nos vemos
show me,muéstramelo
show me,enséñamelo
show me,mostrame
shut up,¡cierra la boca
shut up,¡cerrá el pico
skip it,sáltatelo
so long,hasta la vista
so long,hasta luego
stop it,páralo
stop it,deténlo
take it,cógelo
tell me,decime
tom ate,tom comió
tom ran,tom corrió
tom won,tom ganó
wait up,espérame despierto
wake up,¡despierta
wake up,¡despiértate
wake up,¡despertate
wake up,despierta
wash up,lávate las manos
we care,nos preocupamos
we know,lo sabemos
we lost,perdimos
welcome,bienvenidos
welcome,bienvenidas
who ate,¿quién comió
who ran,¿quién corría
who ran,¿quién corrió
who won,¿quién ganó
who won,¿quién ha ganado
why not,¿por qué no
you run,corre
you won,has ganado
am i fat,¿estoy gordo
ask them,preguntales
ask them,pregúntales
back off,aparta
back off,apártate
be a man,sé un hombre
be brave,sé fuerte
be brief,sé breve
be brief,sea breve
be brief,sean breves
be quiet,estate quieto
be still,no te muevas
call tom,¡llamalo a tomás
call tom,¡llámalo a tomás
call tom,¡llámenlo a tomás
cheer up,anímate
cheer up,venga
cool off,¡cálmate
cuff him,espósale
dont go,no te vayas
drive on,continúa
find tom,encontralo a tomás
find tom,encuéntralo a tomás
find tom,encuéntrelo a tomás
