English,Portuguese
"Air travel is fast; sea travel is, however, restful.","Viajar de avião é rápido; viajar pelo mar, porém, é relaxante."
He behaved himself like a man.,Ele comportava-se como um homem.
My mother gave me her sewing machine.,A minha mãe me deu a sua máquina de costura.
The monkey fell from the tree.,O macaco caiu da árvore.
Do you have any good news?,Tens boas notícias?
I know her well. She is my friend.,Conheço-a bem. É minha amiga.
I would like to come to your party.,Gostaria de comparecer à sua festa.
Did she come with him?,Ela veio com ele?
The plan is subject to his approval.,O plano é assunto de sua aprovação.
I have no friends.,Eu não tenho amigos.
He took no notice of me.,Ele não tomou conhecimento de mim.
You've got the wrong station.,Você está na estação errada.
She purposely showed off her dress.,Ela exibiu o seu vestido de propósito.
She is excellent in composition.,Ela é excelente em composição.
He married a Canadian girl.,Ele se casou com uma garota canadense.
Do you think the accused is really guilty of the crime?,Vocês acham que o acusado é realmente culpado pelo crime?
I will do whatever you tell me to do.,Farei o que quer que me peça.
Tom collected old coins.,Tom colecionava moedas antigas.
There is a bank in front of the station.,Há um banco em frente à estação.
I want you to be here.,Eu quero que você esteja aqui.
She complained of a headache.,Ela reclamou de uma dor de cabeça.
The accident happened two hours ago.,O acidente aconteceu há duas horas.
"As for me, I am satisfied.","Para mim, está bom."
I keep nothing from you.,Eu não retenho nada teu.
I am not sure how to pronounce the word.,Não estou seguro de como pronunciar esta palavra.
I'm being good to you this morning.,Estou sendo bom contigo essa manhã.
Jane is more attractive than Susan.,Jane é mais bonita do que Susan.
"To tell you the truth, I am scared of heights. ""You are a coward!""","Para ser honesto, estou com medo de altura. ""Você é um covarde!"""
America was discovered by Columbus in 1492.,A América foi descoberta em 1492 por Colombo.
"These are my books, those are his.","Estes são os meus livros; aqueles, os dele."
Hi! How are you?,Olá! Tudo bem?
Chris defeated the vampire knight!,Chris derrotou o cavaleiro vampiro!
"The ""subject"" is the person or object to carry out the action in the sentence. Transformed to Japanese it would be the part that end in ""wa"" or ""ga"".","O ""sujeito"" é a pessoa ou objeto que realiza a ação na frase. Passando para o japonês, é a parte que termina em ""wa"" ou ""ga""."
She locked the door.,Ela trancou a porta.
"You never change, do you?","Você não muda nunca, né?"
"I didn't want to go, but she had been so kind to me that I couldn't but accept the invitation.","Eu não queria ir, mas ela tem sido tão gentil comigo que eu não pude recusar o seu convite."
She's Alain's wife.,Ela é a esposa de Alain.
Suddenly the heavens opened.,"De repente, os céus se abriram."
I'll give you a call when I get home.,Eu vou te ligar quando chegar em casa.
My father is two years younger than my mother.,Meu pai é dois anos mais novo que minha mãe.
It's more difficult than you think.,É mais difícil do que você pensa.
Your O's look like A's.,Seus ós parecem ás.
I'll drive you home.,Vou te levar até a sua casa.
You cannot mix oil and water.,Não dá para misturar óleo e água.
She's as good a cook as her mother.,Ela é tão boa cozinheira como a mãe.
The methodology used in his study is also helpful to us in conducting our research.,A metodologia usada no seu estudo é útil também para nós na condução da nossa pesquisa.
They held the meeting here.,Eles fizeram a reunião aqui.
All you're doing is trying to escape reality.,Tudo o que você está fazendo é tentar fugir da realidade.
They made their way through the crowd.,Eles abriram caminho pela multidão.
I must get this work finished by next Tuesday.,Preciso terminar este trabalho até a próxima terça-feira.
"To be a good teacher, you must know how to make the most of what your students have.","Para ser um bom professor, você deve saber obter o máximo daquilo que seus alunos têm."
Over ten percent of them can do the work.,Mais de dez por cento deles podem realizar o trabalho.
He is capable of teaching Spanish.,Ele é capaz de ensinar espanhol.
The richest man in the world cannot buy everything.,O homem mais rico do mundo não pode comprar tudo.
My grandfather comes from Osaka.,O meu avô vem de Osaca.
See you tomorrow in the library.,Te vejo amanhã na biblioteca.
Father came home about ten minutes ago.,Papai veio para casa mais ou menos há dez minutos atrás.
Why did you paint the couch red?,Por que você pintou o sofá de vermelho?
I don't know what to do from now on.,Eu não sei o que fazer a partir de agora.
There isn't a single cloud in the sky.,Não há uma nuvem sequer no céu.
They blotted out my name from the list.,Eles apagaram meu nome da lista.
You can't bring this in.,Você não pode trazer isto para dentro.
I was worried about his health.,Eu estava preocupado com a saúde dele.
I'm a vegetarian who eats a ton of meat.,Sou um vegetariano que come uma tonelada de carne.
The explanation of each fact took a long time.,A explicação de cada fato levou um bom tempo.
War does not determine who is right — only who is left.,A guerra não determina quem está certo — apenas quem resta.
It's time for our children to go to bed.,É hora de nossas crianças irem para a cama.
The murder case may bear a relation to his sudden death.,O caso de assassinato pode ter relação com sua morte súbita.
I had no idea what to do.,Não tenho ideia do que fazer.
She transferred the picture in the book to her notebook.,Ela transferiu a imagem do livro para o caderno.
Please take me across the river.,Por favor leve-me ao outro lado do rio.
