English,Portuguese
Dr. Johnson is a professor at the university.,Dr. Johnson é um professor na universidade.
"The card was valid until January, 2006.",O cartão era válido até janeiro de 2006.
Mary doesn't use salt in her cooking.,Maria não usa sal na sua cozinha.
The thief used a screwdriver to break into the car.,O ladrão usou uma chave de fenda para entrar no carro.
Scientists haven't found a vaccine for cancer yet.,Os cientistas ainda não encontraram uma vacina para o câncer.
"Squaw Valley, California, is one of the largest ski resorts in the United States.","Squaw Valley, na Califórnia, é uma das maiores áreas de esqui dos Estados Unidos."
Your friendship has great value to me.,Sua amizade representa muito para mim.
Tom doesn't like eating vegetables.,Tom não gosta de comer vegetais.
The bank vetoed my student loan application.,O banco vetou meu pedido de empréstimo estudantil.
Tom is the victim of a terrible crime.,Tom é a vítima de um crime terrível.
Which countries have you visited?,Quais países você visitou?
It's dangerous to live near a volcano.,É perigoso morar perto de um vulcão.
The workers receive their wages every Friday.,Os trabalhadores recebem o pagamento todas as sextas-feiras.
"The Great Wall of China is over 5,500 miles long.",A Grande Muralha da China tem mais de 5500 minhas de comprimento.
"Tom has great wealth, but he is not happy.","Tom tem uma grande fortuna, mas não é feliz."
"It's raining, but she's not wearing a coat.","Está chovendo, mas ela não está usando um casaco."
Be careful! The floor is wet.,Cuidado! O chão está molhado.
The sidewalks were wet after the rain.,As calçadas estavam molhadas depois da chuva.
Have you heard whether Tom got the job?,Ficou sabendo se o Tom conseguiu o trabalho?
Tom spent the whole day reading in bed.,Tom passou o dia inteiro lendo na cama.
Will he eat the whole cake?,Ele comerá o bolo inteiro?
Most of the Amazon jungle is still wild.,A maior parte da floresta amazônica permanece intacta.
Tom won the race.,Tom venceu a corrida.
Have you ever been a witness in a court case?,Você já foi testemunha num caso de tribunal?
Have you ever wondered how many stars are in the sky?,Você já se perguntou quantas estrelas há no céu?
There are more than six billion people in the world.,Há mais de seis bilhões de pessoas no mundo.
My mother makes the best cakes in the world.,Minha mãe faz os melhores bolos do mundo.
"In older people, wounds take a long time to heal.","Nas maiores, as feridas saram após muito tempo."
Parents teach their children that it's wrong to lie.,Os pais ensinam aos filhos que é errado mentir.
The doctors are looking at an X-ray.,Os médicos estão examinando uma radiografia.
Yesterday was the last day of school.,Ontem foi o último dia de escola.
Scientists haven't found a cure for cancer yet.,Os cientistas ainda não descobriram uma cura para o cancro.
The flights haven't left yet.,Os voos ainda não partiram.
It's easier to learn a new language when you are young.,É mais fácil aprender uma língua nova quando se é jovem.
Most young adults enjoy going out at night.,A maior parte dos jovens adultos gostam de sair à noite.
Zero comes before one.,O zero vem antes do um.
"The world's largest zoo is in Berlin, Germany.","O maior jardim zoológico do mundo é em Berlim, na Alemanha."
Have you visited a zoo in your country?,Já visitou um jardim zoológico no seu país?
The little boy is at the zoo.,O menino está no jardim zoológico.
Zebras and giraffes are found at a zoo.,Zebras e girafas podem ser encontradas no zoológico.
It's Greek to me.,Para mim é grego.
It's Chinese to me.,É chinês para mim.
Many people use cash machines to withdraw money.,Muitas pessoas utilizam caixas eletrônicos para retirar dinheiro.
The mayor of Naples has apologised to a US tourist who was beaten up by local residents shortly after he was mugged.,O prefeito de Napoles desculpou-se com um turista americano que foi agredido por residentes locais logo após ser roubado.
Only a fool doesn't fear the sea.,Só um tolo não teme o mar.
"I'm an idealist. I don't know where I'm going, but I'm on my way.","Sou um idealista. Não sei aonde estou indo, mas estou a caminho."
He dedicated himself to biology studies for almost ten years.,Dedicou-se aos estudos da biologia durante quase dez anos.
He described the incident in detail.,Ele descreveu o incidente em detalhes.
I have astigmatism.,Eu tenho astigmatismo.
Iceland entered into an alliance with France.,A Islândia entrou em conflito com a França.
Sheep are raised for their wool and meat.,Ovelhas são criadas pela lã e pela carne.
I burnt my fingertip.,Queimei a ponta do meu dedo.
Cows eat grass.,As vacas comem grama.
My father fixes broken chairs.,Meu pai arruma cadeiras quebradas.
It is a very sad tale.,É um conto muito triste.
I was raised in Tokyo.,Eu fui criado em Tóquio.
I was born in Tokyo.,Eu nasci em Tóquio.
"Although he is rich, he is not happy.","Embora seja rico, ele não é feliz."
Of course I remember you! We used to be best friends when we went to elementary school!,"Claro que me lembro de você, éramos melhores amigos quando estávamos no ensino básico."
She moved to the USA because her father died some months after you went to France.,Ela se mudou para os EUA porque o pai dela morreu alguns meses depois que você foi para a França.
Try not to splatter the ink.,Tente não borrar a tinta.
What languages do you speak?,Que línguas falas?
Do you have money?,Você tem dinheiro?
He blackmailed me.,Ele me chantageou.
He's always on time.,Ele sempre está a tempo.
Wanker.,Punheteiro.
My baby brother still wets his bed.,Meu irmãozinho ainda molha a cama.
I've never seen anyone look so angry like that in my life.,Nunca vi alguém que parecesse tão nervoso assim em minha vida.
He got angry when he found out about their plans.,Ele ficou bravo quando descobriu o plano deles.
I approve of this message.,Eu aprovo este casamento.
I don't approve of the way he bullies others.,Eu não aprovo a maneira com que ele amedronta os outros.
You must obtain approval before you can go.,Você deve obter autorização antes de sair.
I don't approve of them dating each other.,Eu não aprovo seu namoro.
I don't always approve of his methods.,Eu nem sempre aprovo seus métodos.
What is your job?,Qual é o seu serviço?
What is your surname?,Qual é seu sobrenome?
What shoes do you like?,De que calçados você gosta?
What size cake do you need?,Você quer um bolo de que tamanho?
What sunglasses are pink?,Que óculos de sol são rosa?
What time does my flight arrive?,A que horas chega meu voo?
What's that animal's name?,Qual é o nome desse animal?
What's the distance from here to Salamanca?,Qual é a distância daqui até Salamanca?
What's your favorite day?,Qual é o seu dia favorito?
When did it happen?,Quando aconteceu?
When do you drink coffee?,Quando você bebe café?
When do you eat breakfast?,De que horas você toma o café da manhã?
"When I found the restaurant, my friends had already had supper.","Quando encontrei o restaurante, meus amigos já tinham jantado."
"When it's hot, I go swim. When it rains, I like to play chess.","Quando está calor, eu vou nadar. Quando chove, eu gosto de jogar xadrez."
When must I go on board?,Que hora devo embarcar?
Where are you going this afternoon?,Onde você vai esta tarde?
Where can I buy a map of the city?,Onde posso comprar um mapa da cidade?
Where can I find the produce?,Onde posso encontrar hortifrutigranjeiros?
Where can I get a map?,Onde posso conseguir um mapa?
Where can we park the car?,Onde podemos estacionar o carro?
Where do they live?,Onde eles moram?
Where do you all live?,Onde todos vocês vivem?
Where do you write?,Onde escreves?
Where does your grandmother live?,Onde a sua avó mora?
Where is it?,Onde está?
Where is my luggage?,Onde está a minha bagagem?
Where is the entrance?,Onde é a entrada?
Where is the exit?,Onde está a saída?
Where is the nearest metro station?,Onde fica a estação de metrô mais próxima?
Where is the Palace of Fine Arts?,Onde fica o Palácio de Belas Artes?
Where were you born?,Onde você nasceu?
Which one do you prefer?,Qual você prefere?
Who is the Administrative Assistant?,Quem é o assistente administrativo?
Who is the man who was talking with you?,Quem é o homem que falava com você?
"Who's your daddy, bitch?","Quem é o seu pai, cadela?"
Whom are you going out with now?,Com quem você está saindo agora?
Why are you in the bathroom?,Por que você está no banheiro?
Why are you washing your hands?,Por que você está lavando as mãos?
Why did you buy flowers?,Por que tu compraste flores?
Will you wake me at seven?,Você me acordará às sete?
With whom are you eating lunch?,Com quem você está almoçando?
Would you like anything else?,Você gostaria de algo mais?
Would you like to go for a walk?,Gostaria de dar um passeio?
"Yes, I speak Spanish.","Sim, eu falo espanhol."
"Yes, it can be done very easily.","Sim, isso pode ser feito muito facilmente."
"Yes, it's true. And you?","Sim, é verdade. E você?"
"Yes, please.","Sim, por favor."
You don't have to be a genius to know who said that.,Não precisa ser um gênio para saber quem disse isso.
Do you need the keys?,Você precisa das chaves?
You owe me.,Você me deve.
You should do it this way.,Você deveria fazer desse jeito.
You teach Arabic.,Você ensina árabe.
You're very kind.,Você é muito generoso.
You're very sexy.,Você é muito sexy.
I am not ashamed to be seen with them.,Não estou envergonhado de ser visto com eles.
My attendance is necessary.,Minha presença é necessária.
I did not want to attract attention.,Eu não queria chamar atenção.
I am trying to avoid any arguments.,Estou tentando evitar quaisquer discussões.
Is this what you want?,Isso é o que você quer?
I can't remember her address no matter how much I try.,Não consigo me lembrar do endereço dela por mais que eu tente.
I'm 24 years old.,Tenho 24 anos.
I'm 24.,Tenho 24 anos.
Smoking kills.,Fumar mata.
He speaks really well.,Ele fala realmente bem.
Do you speak Chinese well?,Você fala chinês bem?
